pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-06-01	Push, Tap, Dwell, and Pinch: Evaluation of Four Mid-Air Selection Methods Augmented with Ultrasonic Haptic Feedback  ISS 2022	This paper is about the number 1. The number 2 is left for future work.	Tafadzwa Joseph Dube, Yuan Ren, Hannah Limerick, I. Scott MacKenzie, Ahmed Sabbir Arif. 2022. Push, Tap, Dwell, and Pinch: Evaluation of Four Mid-Air Selection Methods Augmented with Ultrasonic Haptic Feedback. <i>In Proceedings of the 2022 ACM Interactive Surfaces and Spaces Conference (ISS 2022)</i>. ACM, New York, NY, USA, to appear.	paper-title-number-1	http://academicpages.github.io/files/paper1.pdf
2021-09-01	Stepper, Swipe, Tilt, Force: Comparative Evaluation of Four Number Pickers for Smartwatches	ISS 2021	This paper is about the number 2. The number 3 is left for future work.	Yuan Ren, Ahmed Sabbir Arif. 2021. Stepper, Swipe, Tilt, Force: Comparative Evaluation of Four Number Pickers for Smartwatches. <i>In Proc. ACM Hum.-Comput. Interact. 5, ISS, Article 500 (November 2021)<i>, 21 pages.	paper-title-number-2	http://academicpages.github.io/files/paper2.pdf
